wo_id,workorder_type,part_id,part_description,quantity,status,open_date,close_date,required_date,routing_template,act_lab_cost,act_bur_cost,act_ser_cost,act_mat_cost,desired_rls_date,sched_start_date,sched_finish_date,outside_service,service_date,vendor_id,site_id,demand_order_line_id,created_at
WO-PLN-0027,M,P-10036,Machined Spar Cap Al 7075,20.0,unreleased,,,2027-02-01,,0.0,0.0,0.0,0.0,2026-03-19,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0028,M,PN-10020,"Hydraulic Line Fitting MS21902D6, AN-6",25.0,unreleased,,,2027-01-15,,0.0,0.0,0.0,0.0,2026-04-13,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0029,M,PN-10110,"Flight Control Rod End, AN490HT10",30.0,unreleased,,,2026-12-25,,0.0,0.0,0.0,0.0,2026-04-17,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0030,M,PN-10120,"Avionics Mounting Tray, .063 Alum 6061-T6",35.0,unreleased,,,2026-09-17,,0.0,0.0,0.0,0.0,2026-04-21,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0031,M,PN-10130,"Wing Spar Fitting 7050-T7451, LH",40.0,unreleased,,,2026-07-15,,0.0,0.0,0.0,0.0,2026-04-09,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0032,M,PN-10180,"Landing Gear Bracket 4340 Steel, Heat Treated",45.0,unreleased,,,2026-08-14,,0.0,0.0,0.0,0.0,2026-04-13,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0033,M,MCH-51001,"Longeron Splice, Fwd Fuselage",10.0,unreleased,,,2026-08-28,,0.0,0.0,0.0,0.0,2026-05-02,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0034,M,MCH-51002,"Torque Tube, Wing Station 42",15.0,unreleased,,,2027-01-28,,0.0,0.0,0.0,0.0,2026-05-12,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0035,M,MCH-51003,"Bulkhead Frame, Flap Track",20.0,unreleased,,,2027-03-02,,0.0,0.0,0.0,0.0,2026-05-12,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0036,M,MCH-51004,"Hinge Fitting, Nacelle Assy",25.0,unreleased,,,2026-12-07,,0.0,0.0,0.0,0.0,2026-05-03,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0037,M,MCH-51005,"Machined Rib, Empennage",30.0,unreleased,,,2026-11-09,,0.0,0.0,0.0,0.0,2026-05-12,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0038,M,MCH-51006,"Spar Fitting, Center Wing Box",35.0,unreleased,,,2026-07-11,,0.0,0.0,0.0,0.0,2026-05-01,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0039,M,MCH-51007,"Gusset Plate, Aft Pylon",40.0,unreleased,,,2026-12-21,,0.0,0.0,0.0,0.0,2026-05-03,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-PLN-0040,M,MCH-51008,"Actuator Bracket, MLG Bay",45.0,unreleased,,,2026-10-19,,0.0,0.0,0.0,0.0,2026-05-30,,,0,,,SITE-1,,2026-09-21 14:38:01
WO-JUL-01,W,MCH-51001,"Longeron Splice, Fwd Fuselage",3.0,closed,2026-07-01,2026-07-01,2026-07-01,MACHINED,162.5,83.6,0.0,2850.68,2026-07-01,2026-07-01 08:00:00,2026-07-01 16:00:00,0,,,SITE-1,156,2026-09-21 14:38:01
WO-JUL-02,W,MCH-51002,"Torque Tube, Wing Station 42",4.0,closed,2026-07-01,2026-07-02,2026-07-02,MACHINED,175.0,90.25,0.0,3032.5,2026-07-01,2026-07-01 08:00:00,2026-07-02 16:00:00,0,,,SITE-1,157,2026-09-21 14:38:01
WO-JUL-03,W,MCH-51003,"Bulkhead Frame, Flap Track",2.0,closed,2026-07-01,2026-07-03,2026-07-03,MACHINED,187.5,95.95,0.0,315.9,2026-07-01,2026-07-01 08:00:00,2026-07-03 16:00:00,0,,,SITE-1,158,2026-09-21 14:38:01
WO-JUL-04,W,MCH-51004,"Hinge Fitting, Nacelle Assy",3.0,closed,2026-07-01,2026-07-04,2026-07-04,MACHINED,200.0,102.6,0.0,2631.96,2026-07-01,2026-07-01 08:00:00,2026-07-04 16:00:00,0,,,SITE-1,159,2026-09-21 14:38:01
WO-JUL-05,W,MCH-51005,"Machined Rib, Empennage",4.0,closed,2026-07-01,2026-07-05,2026-07-05,MACHINED,212.5,109.25,0.0,602.84,2026-07-01,2026-07-01 08:00:00,2026-07-05 16:00:00,0,,,SITE-1,160,2026-09-21 14:38:01
WO-JUL-06,W,MCH-51006,"Spar Fitting, Center Wing Box",2.0,closed,2026-07-01,2026-07-06,2026-07-06,MACHINED,225.0,115.9,0.0,1315.9,2026-07-01,2026-07-01 08:00:00,2026-07-06 16:00:00,0,,,SITE-1,161,2026-09-21 14:38:01
WO-JUL-07,W,MCH-51007,"Gusset Plate, Aft Pylon",3.0,closed,2026-07-01,2026-07-07,2026-07-07,MACHINED,237.5,121.6,0.0,2050.38,2026-07-01,2026-07-01 08:00:00,2026-07-07 16:00:00,0,,,SITE-1,162,2026-09-21 14:38:01
WO-JUL-08,W,MCH-51008,"Actuator Bracket, MLG Bay",4.0,closed,2026-07-01,2026-07-08,2026-07-08,MACHINED,250.0,128.25,0.0,1654.56,2026-07-01,2026-07-01 08:00:00,2026-07-08 16:00:00,0,,,SITE-1,163,2026-09-21 14:38:01
WO-JUL-09,W,MCH-51009,"Longeron Splice, Fwd Fuselage",2.0,closed,2026-07-02,2026-07-09,2026-07-09,MACHINED,262.5,134.9,0.0,2414.52,2026-07-02,2026-07-02 08:00:00,2026-07-09 16:00:00,0,,,SITE-1,164,2026-09-21 14:38:01
WO-JUL-10,W,MCH-51010,"Gusset Plate, Aft Pylon",3.0,closed,2026-07-03,2026-07-10,2026-07-10,MACHINED,275.0,141.55,0.0,669.05,2026-07-03,2026-07-03 08:00:00,2026-07-10 16:00:00,0,,,SITE-1,165,2026-09-21 14:38:01
WO-JUL-11,W,MCH-51011,"Spar Fitting, Center Wing Box",4.0,closed,2026-07-04,2026-07-11,2026-07-11,MACHINED,287.5,147.25,0.0,1091.88,2026-07-04,2026-07-04 08:00:00,2026-07-11 16:00:00,0,,,SITE-1,166,2026-09-21 14:38:01
WO-JUL-12,W,MCH-51012,"Machined Rib, Empennage",2.0,closed,2026-07-05,2026-07-12,2026-07-12,MACHINED,300.0,153.9,0.0,2002.05,2026-07-05,2026-07-05 08:00:00,2026-07-12 16:00:00,0,,,SITE-1,167,2026-09-21 14:38:01
WO-JUL-13,W,MCH-51013,"Hinge Fitting, Nacelle Assy",3.0,closed,2026-07-06,2026-07-13,2026-07-13,MACHINED,312.5,160.55,0.0,3441.12,2026-07-06,2026-07-06 08:00:00,2026-07-13 16:00:00,0,,,SITE-1,168,2026-09-21 14:38:01
WO-JUL-14,W,MCH-51014,"Bulkhead Frame, Flap Track",4.0,closed,2026-07-07,2026-07-14,2026-07-14,MACHINED,325.0,167.2,0.0,1262.05,2026-07-07,2026-07-07 08:00:00,2026-07-14 16:00:00,0,,,SITE-1,169,2026-09-21 14:38:01
WO-JUL-15,W,MCH-51015,"Torque Tube, Wing Station 42",2.0,closed,2026-07-08,2026-07-15,2026-07-15,MACHINED,337.5,172.9,0.0,4195.8,2026-07-08,2026-07-08 08:00:00,2026-07-15 16:00:00,0,,,SITE-1,170,2026-09-21 14:38:01
WO-JUL-16,W,MCH-51016,"Longeron Splice, Fwd Fuselage",3.0,closed,2026-07-09,2026-07-16,2026-07-16,MACHINED,350.0,179.55,0.0,2138.01,2026-07-09,2026-07-09 08:00:00,2026-07-16 16:00:00,0,,,SITE-1,171,2026-09-21 14:38:01
WO-JUL-17,W,MCH-51017,"Actuator Bracket, MLG Bay",4.0,closed,2026-07-10,2026-07-17,2026-07-17,MACHINED,362.5,186.2,0.0,2426.0,2026-07-10,2026-07-10 08:00:00,2026-07-17 16:00:00,0,,,SITE-1,172,2026-09-21 14:38:01
WO-JUL-18,W,MCH-51018,"Gusset Plate, Aft Pylon",2.0,closed,2026-07-11,2026-07-18,2026-07-18,MACHINED,375.0,192.85,0.0,263.25,2026-07-11,2026-07-11 08:00:00,2026-07-18 16:00:00,0,,,SITE-1,173,2026-09-21 14:38:01
WO-JUL-19,W,MCH-51019,"Spar Fitting, Center Wing Box",3.0,closed,2026-07-12,2026-07-19,2026-07-19,MACHINED,387.5,198.55,0.0,5263.92,2026-07-12,2026-07-12 08:00:00,2026-07-19 16:00:00,0,,,SITE-1,174,2026-09-21 14:38:01
WO-JUL-20,W,MCH-51020,"Machined Rib, Empennage",4.0,closed,2026-07-13,2026-07-20,2026-07-20,MACHINED,400.0,205.2,0.0,452.13,2026-07-13,2026-07-13 08:00:00,2026-07-20 16:00:00,0,,,SITE-1,175,2026-09-21 14:38:01
WO-JUL-21,W,MCH-51021,"Hinge Fitting, Nacelle Assy",2.0,closed,2026-07-14,2026-07-21,2026-07-21,MACHINED,412.5,211.85,0.0,1052.72,2026-07-14,2026-07-14 08:00:00,2026-07-21 16:00:00,0,,,SITE-1,176,2026-09-21 14:38:01
WO-JUL-22,W,MCH-51022,"Gusset Plate, Aft Pylon",3.0,closed,2026-07-15,2026-07-22,2026-07-22,MACHINED,425.0,218.5,0.0,1708.65,2026-07-15,2026-07-15 08:00:00,2026-07-22 16:00:00,0,,,SITE-1,177,2026-09-21 14:38:01
WO-JUL-23,W,MCH-51023,"Spar Fitting, Center Wing Box",4.0,closed,2026-07-16,2026-07-23,2026-07-23,MACHINED,437.5,224.2,0.0,3309.12,2026-07-16,2026-07-16 08:00:00,2026-07-23 16:00:00,0,,,SITE-1,178,2026-09-21 14:38:01
WO-JUL-24,W,MCH-51024,"Longeron Splice, Fwd Fuselage",2.0,closed,2026-07-17,2026-07-24,2026-07-24,MACHINED,450.0,230.85,0.0,1810.89,2026-07-17,2026-07-17 08:00:00,2026-07-24 16:00:00,0,,,SITE-1,179,2026-09-21 14:38:01
WO-JUL-25,W,MCH-51025,"Actuator Bracket, MLG Bay",3.0,closed,2026-07-18,2026-07-25,2026-07-25,MACHINED,462.5,237.5,0.0,535.24,2026-07-18,2026-07-18 08:00:00,2026-07-25 16:00:00,0,,,SITE-1,180,2026-09-21 14:38:01
WO-JUL-26,W,MCH-51001,"Longeron Splice, Fwd Fuselage",4.0,closed,2026-07-19,2026-07-26,2026-07-26,MACHINED,475.0,244.15,0.0,909.9,2026-07-19,2026-07-19 08:00:00,2026-07-26 16:00:00,0,,,SITE-1,181,2026-09-21 14:38:01
WO-JUL-27,W,MCH-51002,"Torque Tube, Wing Station 42",2.0,closed,2026-07-20,2026-07-27,2026-07-27,MACHINED,487.5,250.8,0.0,4004.1,2026-07-20,2026-07-20 08:00:00,2026-07-27 16:00:00,0,,,SITE-1,182,2026-09-21 14:38:01
WO-JUL-28,W,MCH-51003,"Bulkhead Frame, Flap Track",3.0,closed,2026-07-21,2026-07-28,2026-07-28,MACHINED,500.0,256.5,0.0,2580.84,2026-07-21,2026-07-21 08:00:00,2026-07-28 16:00:00,0,,,SITE-1,183,2026-09-21 14:38:01
WO-JUL-29,W,MCH-51004,"Hinge Fitting, Nacelle Assy",4.0,closed,2026-07-22,2026-07-29,2026-07-29,MACHINED,512.5,263.15,0.0,1009.64,2026-07-22,2026-07-22 08:00:00,2026-07-29 16:00:00,0,,,SITE-1,184,2026-09-21 14:38:01
WO-JUL-30,W,MCH-51005,"Machined Rib, Empennage",2.0,closed,2026-07-23,2026-07-30,2026-07-30,MACHINED,525.0,269.8,0.0,3496.5,2026-07-23,2026-07-23 08:00:00,2026-07-30 16:00:00,0,,,SITE-1,185,2026-09-21 14:38:01
WO-JUL-31,W,MCH-51006,"Spar Fitting, Center Wing Box",3.0,closed,2026-07-24,2026-07-31,2026-07-31,MACHINED,537.5,276.45,0.0,4276.02,2026-07-24,2026-07-24 08:00:00,2026-07-31 16:00:00,0,,,SITE-1,186,2026-09-21 14:38:01
