concept_id,concept_name,description,domain,synonyms,tags,parent_concept_id,created_at,computation_template
106,WarehouseLocation,Warehouse/site a stock move is distributed to (inventory traced by move),operations,,,,2026-09-21 15:54:10,
108,WorkOrderLifecycleState,Work order lifecycle stage on the shop floor (Open->Released->In Process->Complete->Closed),operations,,,,2026-09-21 15:54:10,
109,PartSourcingClass,How a part is sourced: engineered/made vs bought vs raw vs hardware vs outside service (engineering make/buy intent),operations,,,,2026-09-21 15:54:10,
110,StockMovementDirection,Direction of an inventory transaction: stock receipt (in) vs issue (out),operations,,,,2026-09-21 15:54:10,
111,OperationExecutionState,Execution state of a routing operation (queued -> started -> complete),operations,,,,2026-09-21 15:54:10,
112,QuantityBasisEngineering,"Quantity read through the engineering lens: a per-unit, as-designed requirement basis (engineering normalizes material needs to a single unit)",operations,,,,2026-09-21 15:54:10,
113,QuantityBasisManufacturing,Quantity read through the manufacturing lens: a production batch / lot size to build or fulfill (qty > 1),operations,,,,2026-09-21 15:54:10,
114,PurchaseOrderLifecycleState,Lifecycle state of a purchase order (open -> approved -> received -> closed),procurement,,,,2026-09-21 15:54:10,
115,ReceivingInspectionState,Inspection disposition of a received shipment (pending -> pass / fail),quality,,,,2026-09-21 15:54:10,
116,CertificationStatusState,Validity state of a certification (active / expired / revoked / pending),quality,,,,2026-09-21 15:54:10,
117,CertificationType,Kind of certification held (material / process / quality-system / etc.),quality,,,,2026-09-21 15:54:10,
118,RequirementBasisEngineering,Requirement read through the engineering lens: an as-designed routing standard on a PART component (per-unit basis); component_type='PART',operations,,,,2026-09-21 15:54:10,
119,RequirementBasisManufacturing,Requirement read through the manufacturing lens: as-built actuals on a WORK_ORDER component (batch basis); component_type='WORK_ORDER',operations,,,,2026-09-21 15:54:10,
120,ARInvoiceReference,FK link that identifies which AR invoice a cash-receipt installment is applied against (receivable_payment.invoice_id -> receivable),finance,,,,2026-09-21 15:54:10,
122,ARPaymentDate,Date on which a cash payment was received and applied to an AR invoice installment (temporal cash-settlement marker),finance,,,,2026-09-21 15:54:10,
123,ARInstallmentSequence,Ordinal position of this payment within a multi-installment payment schedule for an AR invoice (1 = first installment),finance,,,,2026-09-21 15:54:10,
124,LedgerPostingEventClass,Kind of ledger posting event in the gl_events audit trail (RM_ISSUE / LABOR / BURDEN / FG_COMPLETION),finance,,,,2026-09-21 15:54:10,
125,JobCostElement,Cost element of a job-cost ledger line (labor / material / burden / service) rolled up per work order in gl_job_cost_detail,finance,,,,2026-09-21 15:54:10,
126,InventoryBucketBalance,Signed running balance of a perpetual inventory bucket (Raw Materials / WIP / Finished Goods) from the gl_* sub-ledgers; the approved ledger_inventorybalance snippet is the authoritative derivation,finance,,,,2026-09-21 15:54:10,
127,MaterialIssueFlow,"Material issued to jobs over a period: RM_ISSUE outflow from the Raw Materials bucket, reported as positive issued value per part and job",finance,,,,2026-09-21 15:54:10,
128,FinishedGoodsProductionFlow,Finished goods produced over a period: FG_COMPLETION inflow into the Finished Goods bucket per part and job,finance,,,,2026-09-21 15:54:10,
129,ReorderPoint,Inventory level at which a replenishment order is triggered (lead-time demand + safety stock),operations,"[""ROP"", ""reorder level"", ""order point""]","[""mrp"", ""inventory"", ""replenishment""]",,2026-09-21 15:54:10,
130,LeadTime,Elapsed time from placing a replenishment order to receiving the stock (in days),operations,"[""replenishment lead time"", ""procurement lead time"", ""supplier lead time""]","[""mrp"", ""inventory"", ""planning""]",,2026-09-21 15:54:10,
131,OnHandQuantity,Physical quantity of a part currently in stock (book inventory on hand),operations,"[""on hand"", ""QOH"", ""quantity on hand"", ""stock on hand""]","[""mrp"", ""inventory"", ""stock""]",,2026-09-21 15:54:10,
132,SafetyStock,Buffer inventory held to absorb demand and lead-time variability and prevent stockouts,operations,"[""buffer stock"", ""safety inventory""]","[""mrp"", ""inventory"", ""buffer""]",,2026-09-21 15:54:10,
133,LeadTimeDemand,Expected demand for a part over its replenishment lead time (average daily demand x lead time),operations,"[""demand during lead time"", ""DLT""]","[""mrp"", ""inventory"", ""demand""]",,2026-09-21 15:54:10,
134,MinimumStockQuantity,Lowest stock level allowed before replenishment is required (min in a min/max policy),operations,"[""min stock"", ""minimum level"", ""min""]","[""mrp"", ""inventory"", ""min-max""]",,2026-09-21 15:54:10,
135,MaximumStockQuantity,Highest stock level a part is replenished up to (max in a min/max policy),operations,"[""max stock"", ""maximum level"", ""max""]","[""mrp"", ""inventory"", ""min-max""]",,2026-09-21 15:54:10,
136,EconomicOrderQuantity,Order quantity that minimizes combined ordering and holding cost (classic EOQ formula),operations,"[""EOQ"", ""economic order qty"", ""optimal order quantity""]","[""mrp"", ""inventory"", ""ordering""]",,2026-09-21 15:54:10,
137,AvailableToPromise,Uncommitted inventory available to promise to new customer orders (on hand minus allocated),operations,"[""ATP"", ""available to promise quantity""]","[""mrp"", ""inventory"", ""availability""]",,2026-09-21 15:54:10,
138,AllocatedQuantity,Quantity of on-hand stock already committed / reserved to existing orders,operations,"[""allocated"", ""reserved quantity"", ""committed quantity""]","[""mrp"", ""inventory"", ""allocation""]",,2026-09-21 15:54:10,
